country,city,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
10016,10016030,岐頭村,X030000038,岐頭遊客中心殘廁,澎湖縣白沙鄉岐頭村,交通部,23.65165925,119.6099997,特優級,,無障礙廁所,澎湖國家風景區管理處,0
10016,10016030,岐頭村,X030000037,岐頭遊客中心女廁,澎湖縣白沙鄉岐頭村16-5號,交通部,23.649513,119.609282,特優級,,女廁所,澎湖國家風景區管理處,0
10016,10016030,岐頭村,X030000036,岐頭遊客中心男廁,澎湖縣白沙鄉岐頭村,交通部,23.65195408,119.6093559,特優級,,男廁所,澎湖國家風景區管理處,0
10016,10016040,小門村,X040000015,西嶼福利館親子廁所,澎湖縣西嶼鄉小門村11-9號2樓,縣市政府,23.65407928,119.5166266,特優級,文化育樂活動場所,親子廁所,西嶼福利館,0
10016,10016040,小門村,X040000014,西嶼福利館女廁,澎湖縣西嶼鄉小門村11-9號2樓,縣市政府,23.65410877,119.5166159,特優級,文化育樂活動場所,女廁所,西嶼福利館,0
10016,10016040,小門村,X040000013,西嶼福利館男廁,澎湖縣西嶼鄉小門村11-9號2樓,縣市政府,23.65408911,119.5166266,特優級,文化育樂活動場所,男廁所,西嶼福利館,0
10016,10016010,光華里,X010000415,澎湖休憩園區女廁2(林務所旁),澎湖縣馬公市光華里,縣市政府,23.5577521,119.6044207,特優級,公園,女廁所,林務公園管理所,0
10016,10016010,光華里,X010000414,澎湖休憩園區男廁2(林務所旁),澎湖縣馬公市光華里,縣市政府,23.55802747,119.6045494,特優級,公園,男廁所,林務公園管理所,0
10016,10016010,光華里,X010000413,澎湖休憩園區殘廁1(水土教室旁),澎湖縣馬公市光華里,縣市政府,23.55842085,119.6060085,特優級,公園,無障礙廁所,林務公園管理所,0
10016,10016010,光華里,X010000412,澎湖休憩園區女廁1(水土教室旁),澎湖縣馬公市光華里,縣市政府,23.55842085,119.6062231,特優級,公園,女廁所,林務公園管理所,0
10016,10016010,光華里,X010000411,澎湖休憩園區男廁1(水土教室旁),澎湖縣馬公市光華里,縣市政府,23.55749,119.600633,特優級,公園,男廁所,林務公園管理所,0
10016,10016040,大池村,X040000021,大池治安宮公廁,澎湖縣西嶼鄉大池村,其他,23.616164,119.506815,特優級,宗教禮儀場所,混合廁所,治安宮管理委員會,0
10016,10016010,菜園里,X010000473,菜園候船室女廁,澎湖縣馬公市菜園里,交通部,23.54926204,119.595446,特優級,,女廁所,澎湖國家風景區管理處管理課,0
